,A,B,C,D,E
0,59,93,61,74,152
1,71,5,0,90,76
2,6,63,4,57,69
3,81,41,45,67,122
4,17,93,22,34,110
5,37,16,94,83,53
6,10,46,53,78,56
7,69,64,69,0,133
8,92,43,69,67,135
9,36,75,83,4,111
10,90,52,54,54,142
11,32,92,26,87,124
12,50,21,1,57,71
13,52,54,64,28,106
14,86,69,93,11,155
15,15,93,42,37,108
16,54,71,0,29,125
17,7,86,87,38,93
18,86,54,66,44,140
19,72,93,93,26,165
20,48,73,89,55,121
21,64,25,44,92,89
22,49,89,92,16,138
23,1,18,70,94,19
24,48,58,82,88,106
25,96,80,74,44,176
26,36,25,95,37,61
27,44,88,16,39,132
28,38,0,85,73,38
29,14,13,5,2,27
30,85,42,3,93,127
31,59,40,13,89,99
32,81,59,53,95,140
33,69,67,23,97,136
34,0,6,5,58,6
35,45,36,41,70,81
36,21,8,98,93,29
37,68,46,76,78,114
38,74,67,14,15,141
39,86,77,51,78,163
40,66,7,51,87,73
41,35,36,25,0,71
42,96,51,88,11,147
43,64,65,49,96,129
44,50,62,59,24,112
45,6,63,57,23,69
46,29,60,3,37,89
47,27,4,19,93,31
48,99,73,7,59,172
49,85,75,89,52,160
50,48,92,81,55,140
51,73,44,57,37,117
52,80,75,26,60,155
53,11,66,67,62,77
54,70,23,76,32,93
55,66,29,12,97,95
56,18,43,56,26,61
57,58,93,84,68,151
58,90,90,50,92,180
59,8,23,1,14,31
60,18,57,21,53,75
61,61,18,81,16,79
62,79,53,82,91,132
63,80,79,7,14,159
64,29,89,16,49,118
65,95,60,1,22,155
66,95,35,6,87,130
67,34,5,23,98,39
68,34,40,40,91,74
69,67,32,34,22,99
70,58,17,70,34,75
71,91,55,11,27,146
72,15,17,94,90,32
73,33,30,70,0,63
74,71,10,75,89,81
75,76,33,58,83,109
76,96,77,3,49,173
77,55,22,14,2,77
78,52,85,91,39,137
79,14,96,73,4,110
80,87,91,70,37,178
81,79,20,84,76,99
82,44,40,44,17,84
83,55,59,78,59,114
84,25,16,76,83,41
85,46,81,11,2,127
86,78,59,7,52,137
87,18,35,90,45,53
88,19,5,45,39,24
89,78,74,81,25,152
90,95,75,11,84,170
91,23,51,17,54,74
92,93,90,1,58,183
93,70,91,56,34,161
94,35,86,86,51,121
95,81,62,15,76,143
96,9,95,96,49,104
97,8,74,69,58,82
98,59,80,19,84,139
99,38,40,54,86,78
